id,name,direction_id/id
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__cabinet_et_services_rattaches__item__comite_paritaire_public_prive_des_zones_economiques_speciales,Comité paritaire public-privé des Zones Economiques Spéciales,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__cabinet_et_services_rattaches__item__inspection_interne,Inspection interne,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__cabinet_et_services_rattaches__item__unite_nationale_d_appui_aux_partenariats_public_prive,Unité nationale d’Appui aux Partenariats – Public- Privé,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__bureau_des_archives_et_de_la_documentation,Bureau des Archives et de la Documentation,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__bureau_du_courrier_commun,Bureau du Courrier commun,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__cellule_de_coordination_du_controle_de_gestion,Cellule de Coordination du Contrôle de Gestion,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__cellule_de_l_evaluation_et_de_la_performance,Cellule de l’Evaluation et de la Performance,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__cellule_de_l_informatique,Cellule de l’Informatique,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__cellule_de_passation_des_marches_publics,Cellule de Passation des Marchés publics,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__cellule_des_affaires_juridiques,Cellule des Affaires juridiques,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches__item__cellule_du_genre_et_de_l_equite,Cellule du Genre et de l’Equité,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__cellule_de_suivi_de_l_integration,Cellule de Suivi de l’Intégration,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__centre_d_etudes_de_politiques_pour_le_developpement,Centre d’Etudes de Politiques pour le Développement,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_de_la_cooperation_economique_et_financiere,Direction de la Coopération économique et financière,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_de_la_planification,Direction de la Planification,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_de_la_prevision_et_des_etudes_economiques,Direction de la Prévision et des Etudes économiques,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_de_l_administration_et_du_personnel,Direction de l’Administration et du Personnel,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_de_l_administration_generale_et_de_l_equipement,Direction de l’Administration générale et de l’Equipement,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_des_financements_et_des_partenariats_public_prive,Direction des Financements et des Partenariats Public-Privé,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_des_ressources_humaines,Direction des Ressources humaines,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_du_developpement_du_capital_humain,Direction du Développement du Capital humain,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_du_developpement_du_secteur_prive,Direction du Développement du Secteur Privé,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__direction_du_suivi_evaluation_des_performances_des_projets_et_programmes,Direction du Suivi-Evaluation des Performances des projets et programmes,
sn_srv_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres__item__unite_de_coordination_et_de_suivi_de_la_politique_economique,Unité de Coordination et de Suivi de la Politique économique,
sn_srv_ministere_de_l_education_nationale__item__item__institut_islamique_de_dakar,Institut Islamique de Dakar,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__agence_nationale_d_insertion_et_de_developpement_agricole,Agence nationale d’Insertion et de Développement agricole,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_de_formation_des_techniciens_en_agriculture_et_genie_rural,Centre de Formation des Techniciens en Agriculture et Génie rural,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_de_formation_professionnelle_horticole,Centre de Formation Professionnelle horticole,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_de_perfectionnement_agricole,Centre de Perfectionnement agricole,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_de_perfectionnement_des_eleveurs_de_labgar,Centre de Perfectionnement des Eleveurs de Labgar,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_de_perfectionnement_des_maraichers,Centre de Perfectionnement des maraîchers,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_d_initiation_horticole,Centre d’Initiation horticole,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_national_de_formation_des_techniciens_de_l_elevage_et_des_industries,Centre national de Formation des Techniciens de l’Elevage et des Industries,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_national_de_formation_en_cultures_irriguees,Centre national de Formation en Cultures irriguées,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_national_d_amelioration_genetique,Centre national d’Amélioration génétique,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__centre_national_d_aviculture_de_mbao,Centre national d’Aviculture de Mbao,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__fonds_d_appui_a_la_stabulation,Fonds d’Appui à la Stabulation,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__institut_national_d_etude_et_d_action_pour_le_developpement_de_l_education,Institut national d’Etude et d’Action pour le Développement de l’Education,
sn_srv_ministere_de_l_education_nationale__autres_administrations__item__ranch_djibo_leyti_ka_de_dolly,Ranch Djibo Leyti KA de Dolly,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__bureau_de_la_formation_professionnelle_agricole,Bureau de la Formation professionnelle agricole,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__bureau_de_la_formation_professionnelle_en_elevage,Bureau de la Formation professionnelle en Elevage,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__bureau_de_la_legislation_agricole,Bureau de la Législation agricole,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__bureau_des_relations_avec_les_organisations_paysannes,Bureau des Relations avec les Organisations paysannes,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__cellule_de_communication_et_d_information,Cellule de Communication et d’Information,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__cellule_de_prevention_et_de_lutte_contre_le_vol_de_betail,Cellule de Prévention et de Lutte contre le Vol de Bétail,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__cellule_des_statistiques_et_donnees,Cellule des statistiques et données,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__centre_national_de_documentation_scientifique_et_technique,Centre national de Documentation scientifique et technique,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__centre_national_d_orientation_scolaire_et_professionnelle,Centre national d’Orientation scolaire et professionnelle,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__inspection_generale_de_l_education_nationale,Inspection générale de l’Education nationale,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__inspection_interne,Inspection interne,
sn_srv_ministere_de_l_education_nationale__cabinet_et_services_rattaches__item__unite_de_coordination_des_projets_d_education,Unité de Coordination des Projets d’Education,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_la_formation_et_de_la_communication,Direction de la Formation et de la Communication,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_la_maintenance_des_constructions_scolaires,Direction de la Maintenance des Constructions scolaires,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_la_modernisation_de_l_equipement_rural,Direction de la Modernisation de l’Equipement rural,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_la_planification_et_de_la_reforme_de_l_education,Direction de la Planification et de la Réforme de l’Education,
sn_srv_ministere_de_l_education_nationale__directions__item__direction_de_la_planification_de_l_evaluation_et_des_statistiques,"Direction de la Planification, de l’Evaluation et des Statistiques",
